,0
2333,9
2334,5
2335,10
2336,1
2337,9
2338,9
2339,5
2340,10
2341,1
2342,5
2343,5
2344,1
2345,1
2346,9
2347,1
2348,11
2349,1
2350,0
2351,11
2352,9
2353,1
2354,1
2355,0
2356,9
2357,2
2358,1
2359,4
2360,6
2361,5
2362,0
2363,1
2364,1
2365,1
2366,4
2367,1
2368,11
2369,2
2370,4
2371,4
2372,1
2373,5
2374,1
2375,9
2376,1
2377,0
2378,1
2379,1
2380,1
2381,1
2382,1
2383,1
2384,1
2385,5
2386,5
2387,9
2388,1
2389,11
2390,5
2391,1
2392,2
2393,1
2394,1
2395,9
2396,11
2397,1
2398,1
2399,1
2400,1
2401,1
2402,1
2403,10
2404,1
2405,10
2406,10
2407,1
2408,1
2409,1
2410,5
2411,1
2412,1
2413,5
2414,5
2415,11
2416,9
2417,5
2418,1
2419,1
2420,9
2421,1
2422,2
2423,1
2424,6
2425,1
2426,1
2427,1
2428,10
2429,10
2430,1
2431,1
2432,1
2433,5
2434,1
2435,9
2436,5
2437,11
2438,4
2439,1
2440,1
2441,1
2442,1
2443,9
2444,1
2445,0
2446,1
2447,9
2448,3
2449,1
2450,1
2451,1
2452,5
2453,1
2454,1
2455,1
2456,5
2457,1
2458,9
2459,2
2460,11
2461,9
2462,2
2463,11
2464,1
2465,5
2466,5
2467,1
2468,11
2469,9
2470,5
2471,11
2472,4
2473,1
2474,9
2475,9
2476,9
2477,1
2478,1
2479,1
2480,4
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,11
2490,11
2491,1
2492,9
2493,9
2494,9
2495,1
2496,1
2497,1
2498,1
2499,5
2500,1
2501,1
2502,2
2503,5
2504,4
2505,5
2506,9
2507,1
2508,5
2509,9
2510,5
2511,1
2512,11
2513,1
2514,1
2515,1
2516,2
2517,2
2518,9
2519,9
2520,1
2521,1
2522,1
2523,9
2524,11
2525,1
2526,5
2527,11
2528,5
2529,1
2530,11
2531,11
2532,2
2533,1
2534,2
2535,1
2536,5
2537,6
2538,9
2539,4
2540,1
2541,1
2542,1
2543,1
2544,1
2545,1
2546,9
2547,1
2548,1
2549,2
2550,1
2551,4
2552,5
2553,5
2554,1
2555,2
2556,9
2557,9
2558,2
2559,1
2560,1
2561,1
2562,1
2563,10
2564,1
2565,0
2566,5
2567,1
2568,1
2569,9
2570,0
2571,10
2572,5
2573,1
2574,1
2575,9
2576,2
2577,1
2578,1
2579,1
2580,1
2581,2
2582,9
2583,1
2584,9
2585,10
2586,4
2587,5
2588,1
2589,1
2590,11
2591,1
2592,1
2593,3
2594,1
2595,3
2596,2
2597,1
2598,1
2599,0
2600,1
2601,1
2602,5
2603,1
2604,1
2605,1
2606,10
2607,1
2608,1
2609,9
2610,11
2611,1
2612,1
2613,10
2614,1
2615,9
2616,1
2617,5
2618,1
2619,0
2620,1
2621,1
2622,1
2623,5
2624,2
2625,1
2626,11
2627,9
2628,10
2629,1
2630,1
2631,1
2632,1
2633,11
2634,1
2635,10
2636,1
2637,1
2638,1
2639,4
2640,1
2641,5
2642,2
2643,1
2644,4
2645,1
2646,1
2647,5
2648,1
2649,1
2650,5
2651,1
2652,5
2653,1
2654,1
2655,1
2656,1
2657,1
2658,9
2659,9
2660,1
2661,1
2662,2
2663,9
2664,9
2665,1
2666,11
2667,1
2668,5
2669,1
2670,2
2671,1
2672,1
2673,2
2674,1
2675,5
2676,11
2677,1
2678,1
2679,9
2680,1
2681,4
2682,5
2683,1
2684,1
2685,9
2686,1
2687,1
2688,11
2689,4
2690,4
2691,1
2692,1
2693,1
2694,5
2695,4
2696,1
2697,1
2698,10
2699,1
2700,0
2701,1
2702,1
2703,1
2704,3
2705,0
2706,1
2707,1
2708,1
2709,1
2710,1
2711,1
2712,1
2713,5
2714,1
2715,2
2716,1
2717,1
2718,2
2719,10
2720,1
2721,5
2722,11
2723,1
2724,1
2725,2
2726,4
2727,1
2728,11
2729,9
2730,11
2731,1
2732,5
2733,1
2734,1
2735,1
2736,1
2737,0
2738,1
2739,1
2740,1
2741,1
2742,1
2743,5
2744,11
2745,11
2746,4
2747,11
2748,1
2749,0
2750,1
2751,1
2752,1
2753,1
2754,5
2755,1
2756,11
2757,1
2758,1
2759,1
2760,2
2761,1
2762,1
2763,1
2764,1
2765,1
2766,1
2767,1
2768,1
2769,1
2770,11
2771,11
2772,5
2773,1
2774,1
2775,5
2776,1
2777,5
2778,9
2779,1
2780,10
2781,1
2782,1
2783,1
2784,1
2785,5
2786,1
2787,1
2788,1
2789,5
2790,1
2791,9
2792,9
2793,9
2794,3
2795,1
2796,4
2797,3
2798,1
2799,1
2800,1
2801,4
2802,1
2803,1
2804,10
2805,1
2806,1
2807,9
2808,1
2809,9
2810,9
2811,1
2812,1
2813,9
2814,4
2815,5
2816,1
2817,1
2818,9
2819,5
2820,1
2821,5
2822,9
2823,5
2824,1
2825,11
2826,3
2827,1
2828,5
2829,1
2830,10
2831,9
2832,1
2833,1
2834,1
2835,1
2836,10
2837,2
