,0
1160,fdps
1161,si:ch211-214c7.5
1162,sept7a
1163,gdi2
1164,borcs8
1165,sypl1
1166,pttg1ipb
1167,CR384085.1
1168,fkbp4
1169,BX539313.2
1170,dnm1l
1171,sema4e
1172,ube2v2
1173,si:dkeyp-87a6.2
1174,mt-nd2
1175,BX601648.1
1176,mcrip1
1177,cct5
1178,cecr2
1179,si:ch211-126c2.4
1180,dguok
1181,zc2hc1a
1182,ccdc85ca
1183,eif4g2b
1184,si:dkey-249p7.4
1185,ccdc146
1186,lamtor5
1187,kcnn1b
1188,fgfr1op
1189,prpf4bb
1190,e2f8
1191,tmem67
1192,dnaaf3l
1193,cct3
1194,kif22
1195,bub1ba
1196,h3f3a
1197,prr11
1198,pole4
1199,zcchc8
1200,paqr4a
1201,fxr1
1202,slc30a5
1203,ggnbp2
1204,ptges3b
1205,nphp1
1206,fam177a1
1207,gnaia
1208,cuedc2
1209,zgc:65873
1210,BX914200.1
1211,sowahd
1212,supt4h1
1213,eif1axb
1214,sybl1
1215,BX001014.2
1216,fthl27
1217,eif3m
1218,si:ch211-288g17.3
1219,commd2
1220,tusc2a
1221,prdx3
1222,pdcd4b
1223,hspa4a
1224,si:ch73-217n20.1
1225,gatad1
1226,ccdc87
1227,ss18
1228,eif5a2
1229,si:ch73-1a9.3
1230,cbx3a
1231,lysmd1
1232,dctn3
1233,spdl1
1234,ttll9
1235,setb
1236,si:dkey-76p14.2
1237,gtf2a1
1238,mgat2
1239,CR847984.1
1240,piwil1
1241,prxl2b
1242,ing4
1243,rab22a
1244,si:ch211-156j22.4
1245,phyhiplb
1246,elocb
1247,ATG14
1248,si:ch211-198o12.4
1249,gng5
1250,naa10
1251,eif3i
1252,lipt2
1253,si:dkey-210j14.4
1254,morn5
1255,zgc:65894
1256,cops8
1257,ccdc24
1258,magoh
1259,trip13
1260,prdx6
1261,sun1
1262,cry1b
1263,tpi1a
1264,si:ch211-202f5.3
1265,aspm
1266,txndc9
1267,cenpx
1268,kif18a
1269,kif2c
1270,tmem123
1271,wdr83os
1272,zgc:63882
1273,phf23a
1274,zgc:91850
1275,fam173a
1276,lxn
1277,brpf3a
1278,ctsd
1279,dync2li1
1280,apooa
1281,mrps26
1282,ap1s1
1283,nubpl
1284,gpx4b
1285,nenf
1286,suclg1
1287,hsbp1a
1288,dnajc19
1289,nap1l4b
1290,naa40
1291,vamp5
1292,tmem167a
1293,lsm12b
1294,ddx59
1295,med30
1296,armc3
1297,nme4
1298,gadd45gip1
1299,zgc:111986
1300,cstf1
1301,hnrnpd
1302,fam32a
1303,ndufb6
1304,sgo1
1305,hsf2
1306,WDR63
1307,cfap70
1308,ppifa
1309,zgc:92287
1310,psmb5
1311,ankrd40
1312,kifap3a
1313,zgc:162239
1314,shisal1b
1315,cd74a
1316,hmgn7
1317,zgc:103697
1318,si:ch211-131k2.2
1319,npdc1a
1320,sdcbp2
1321,CU855889.2
1322,zswim5
1323,ubtd2
1324,pacsin2
1325,si:ch1073-266p11.2
1326,ndufb9
1327,kif20a
1328,CR847571.2
1329,CT025771.1
1330,psen2
1331,mif
1332,ten1
1333,caprin1a
1334,hspbp1
1335,bcl2l10
1336,tac4
1337,papola
1338,ubxn11
1339,id2b
1340,gkap1
1341,fyna
1342,tsen15
1343,laptm4a
1344,si:ch211-66e2.5
1345,anapc13
1346,rfx2
1347,gabpb2b
1348,trappc3
1349,prc1a
1350,atp6v1h
1351,ube2t
1352,ddx61
1353,tmem231
1354,frg1
1355,eif4eb
1356,ccna1
1357,akirin2
1358,si:ch211-80h18.1
1359,dut
1360,ppcdc
1361,cnppd1
1362,timm23a
1363,si:ch211-10a23.2
1364,srp19
1365,stk35l
1366,eaf1
1367,stip1
1368,wdr93
1369,srsf7a
1370,borcs5
1371,txn
1372,ubxn1
1373,znf1014
1374,psmd12
1375,brk1
1376,nkap
1377,pimr179
1378,cfap57
1379,nub1
1380,chchd6a
1381,si:dkey-31c13.1
1382,med10
1383,rpap3
1384,nkd3l
1385,mdm2
1386,ube2z
1387,znf292a
1388,psmd4a
1389,mibp2
1390,zgc:110063
1391,ndufv2
1392,anapc10
1393,ccnf
1394,ppm1bb
1395,esco2
1396,ppp2cb
1397,gstm.1
1398,xcr1a.1
1399,rassf1
1400,si:ch211-39k3.2
1401,pin4
1402,pcmt
1403,ubtfl
1404,tuba8l4
1405,unc13d
1406,gbp
1407,baz1a
1408,pfn1
1409,mrpl47
1410,yod1
1411,dtnbp1a
1412,cwc25
1413,foxj1a
1414,spcs3
1415,elavl2
1416,dedd
1417,armc9
1418,dmrt1
1419,si:ch211-57m13.9
1420,kiz
1421,si:ch211-122l14.7
1422,psmc4
1423,rab1bb
1424,rnps1
1425,pcbd1
1426,ndufab1a
1427,mphosph6
1428,psmd14
1429,ubfd1
1430,MEPCE
1431,ufm1
1432,polr2i
1433,b2m
1434,gng12a
1435,zfand4
1436,eef2b
1437,si:dkey-154p10.3
1438,marcksb
1439,rad54l
1440,psmg3
1441,map1lc3b
1442,cops5
1443,gnai3
1444,sat1a.2
1445,flj13639
1446,cetn3
1447,BX640520.2
1448,cyc1
1449,myl12.1
1450,tmem258
1451,psmd10
1452,cct4
1453,eif4g3a
1454,atg5
1455,eif4e1b
1456,katnal1
1457,trappc2l
1458,slc7a8a
1459,chmp2bb
1460,ttf2
1461,klhl10a
1462,rps27.2
1463,cep83
1464,efcab6
1465,ccng1
1466,CR847897.1
1467,iqce
1468,LO018183.1
1469,prmt3
1470,msh4
1471,zgc:112408
1472,CR847983.2
1473,polr2d
1474,cfap36
1475,tspan9b
1476,cep72
1477,tspan35
1478,ssna1
1479,tfg
1480,eno3
1481,polr2f
1482,fcf1
1483,napab
1484,lipt1
1485,tcte1
1486,snrpb
1487,xaf1
1488,tmsb4x
1489,faim2a
1490,pgrmc1
1491,bpgm
1492,eef1db
1493,rer1
1494,dtymk
1495,lrrc6
1496,kifc1
1497,snx3
1498,cst14a.2
1499,cenpk
1500,msl1b
1501,gpn2
1502,sarm1
1503,arih2
1504,mgat5
1505,ralab
1506,sdhdb
1507,kcnn4
1508,rab11ba
1509,cfap97
1510,eftud2
1511,trnau1apa
